time,task,spec,device,N,T,dt,num_obstacles,passrate,success,best_rho,gpu_traj_s,rho_min,K,delta,accept_rate,reject_rate,near_feasible,seed,world_seed,goal_r,min_start_goal_dist,los_block_required
2025-09-06T21:57:13.234854,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.20323128998279572,0.20323128998279572,0.6989963054656982,5131.90153826946,0.05,8,0.01,1.0,0.0,0.0,123,3003,0.699999988079071,2.0,True
2025-09-06T21:57:18.652278,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.34268707036972046,0.34268707036972046,0.4419567883014679,5991.120517137089,0.05,8,0.01,1.0,0.0,0.0,123,3004,0.699999988079071,2.0,True
2025-09-06T21:57:23.853151,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.2848639488220215,0.2848639488220215,0.6996352672576904,5881.800592413106,0.05,8,0.01,1.0,0.0,0.0,123,3005,0.699999988079071,2.0,True
2025-09-06T21:57:29.185320,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.43112245202064514,0.43112245202064514,0.43858104944229126,5983.685444454553,0.05,8,0.01,1.0,0.0,0.0,123,3006,0.699999988079071,2.0,True
2025-09-06T21:57:34.379788,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.28911563754081726,0.28911563754081726,0.6989327669143677,5623.493946123923,0.05,8,0.01,1.0,0.0,0.0,123,3007,0.699999988079071,2.0,True
2025-09-06T22:00:14.575989,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.23299318552017212,0.23299318552017212,0.6988997459411621,7.738154183041401,0.05,8,0.01,1.0,0.0,0.0,123,3003,0.699999988079071,2.0,True
2025-09-06T22:02:51.171303,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.3639455735683441,0.3639455735683441,0.439365029335022,7.753454257526146,0.05,8,0.01,1.0,0.0,0.0,123,3004,0.699999988079071,2.0,True
2025-09-06T22:05:27.222145,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.30102041363716125,0.30102041363716125,0.6996810436248779,7.784836238637277,0.05,8,0.01,1.0,0.0,0.0,123,3005,0.699999988079071,2.0,True
2025-09-06T22:08:07.859979,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.4404761791229248,0.4404761791229248,0.44390809535980225,7.551465042713569,0.05,8,0.01,1.0,0.0,0.0,123,3006,0.699999988079071,2.0,True
2025-09-06T22:10:55.129939,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.31802719831466675,0.31802719831466675,0.6996736526489258,7.254448731417474,0.05,8,0.01,1.0,0.0,0.0,123,3007,0.699999988079071,2.0,True
2025-09-06T22:25:00.039117,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.30102041363716125,0.30102041363716125,0.6996810436248779,14.631189990374237,0.05,8,0.01,1.0,0.0,0.0,123,3005,0.699999988079071,2.0,True
2025-09-06T22:26:12.100793,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.20323128998279572,0.20323128998279572,0.6989963054656982,5820.994878234147,0.05,8,0.01,1.0,0.0,0.0,123,3003,0.699999988079071,2.0,True
2025-09-06T22:26:17.518378,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.34268707036972046,0.34268707036972046,0.4419567883014679,4502.236288606721,0.05,8,0.01,1.0,0.0,0.0,123,3004,0.699999988079071,2.0,True
2025-09-06T22:26:22.745986,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.2848639488220215,0.2848639488220215,0.6996352672576904,5891.931912819741,0.05,8,0.01,1.0,0.0,0.0,123,3005,0.699999988079071,2.0,True
2025-09-06T22:26:27.965843,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.43112245202064514,0.43112245202064514,0.43858104944229126,6074.913238072482,0.05,8,0.01,1.0,0.0,0.0,123,3006,0.699999988079071,2.0,True
2025-09-06T22:26:33.171235,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.28911563754081726,0.28911563754081726,0.6989327669143677,5671.86285882499,0.05,8,0.01,1.0,0.0,0.0,123,3007,0.699999988079071,2.0,True
2025-09-06T22:29:06.947110,nav2d,gf_avoid_reach,cuda,1176,64,0.1,5,0.23299318552017212,0.23299318552017212,0.6988997459411621,7.904568900328088,0.05,8,0.01,1.0,0.0,0.0,123,3003,0.699999988079071,2.0,True
